Biosample term name	File accession	File download URL
spleen	ENCFF644HJM	https://www.encodeproject.org/files/ENCFF644HJM/@@download/ENCFF644HJM.bam
M059J	ENCFF299HNT	https://www.encodeproject.org/files/ENCFF299HNT/@@download/ENCFF299HNT.bam
GM19239	ENCFF314DTG	https://www.encodeproject.org/files/ENCFF314DTG/@@download/ENCFF314DTG.bam
GM13977	ENCFF885UZH	https://www.encodeproject.org/files/ENCFF885UZH/@@download/ENCFF885UZH.bam
MCF 10A	ENCFF766UHF	https://www.encodeproject.org/files/ENCFF766UHF/@@download/ENCFF766UHF.bam
lower lobe of left lung	ENCFF679UMI	https://www.encodeproject.org/files/ENCFF679UMI/@@download/ENCFF679UMI.bam
HuH-7.5	ENCFF932RXN	https://www.encodeproject.org/files/ENCFF932RXN/@@download/ENCFF932RXN.bam
T-cell	ENCFF990FTE	https://www.encodeproject.org/files/ENCFF990FTE/@@download/ENCFF990FTE.bam
CD4-positive, alpha-beta T cell	ENCFF323PBA	https://www.encodeproject.org/files/ENCFF323PBA/@@download/ENCFF323PBA.bam
activated T-cell	ENCFF304PEW	https://www.encodeproject.org/files/ENCFF304PEW/@@download/ENCFF304PEW.bam
GM13976	ENCFF067HUR	https://www.encodeproject.org/files/ENCFF067HUR/@@download/ENCFF067HUR.bam
T-helper 1 cell	ENCFF583VLM	https://www.encodeproject.org/files/ENCFF583VLM/@@download/ENCFF583VLM.bam
T-cell	ENCFF506GXM	https://www.encodeproject.org/files/ENCFF506GXM/@@download/ENCFF506GXM.bam
CD8-positive, alpha-beta T cell	ENCFF551PHG	https://www.encodeproject.org/files/ENCFF551PHG/@@download/ENCFF551PHG.bam
activated CD4-positive, alpha-beta T cell	ENCFF934UMI	https://www.encodeproject.org/files/ENCFF934UMI/@@download/ENCFF934UMI.bam
T-cell	ENCFF568PCD	https://www.encodeproject.org/files/ENCFF568PCD/@@download/ENCFF568PCD.bam
activated CD4-positive, alpha-beta T cell	ENCFF718IYM	https://www.encodeproject.org/files/ENCFF718IYM/@@download/ENCFF718IYM.bam
brain	ENCFF425GUX	https://www.encodeproject.org/files/ENCFF425GUX/@@download/ENCFF425GUX.bam
mucosa of descending colon	ENCFF272CHE	https://www.encodeproject.org/files/ENCFF272CHE/@@download/ENCFF272CHE.bam
heart left ventricle	ENCFF721LON	https://www.encodeproject.org/files/ENCFF721LON/@@download/ENCFF721LON.bam
heart left ventricle	ENCFF046WBW	https://www.encodeproject.org/files/ENCFF046WBW/@@download/ENCFF046WBW.bam
heart right ventricle	ENCFF505BWK	https://www.encodeproject.org/files/ENCFF505BWK/@@download/ENCFF505BWK.bam
SK-MEL-5	ENCFF793WJQ	https://www.encodeproject.org/files/ENCFF793WJQ/@@download/ENCFF793WJQ.bam
T-cell	ENCFF593DLX	https://www.encodeproject.org/files/ENCFF593DLX/@@download/ENCFF593DLX.bam
eye	ENCFF597SAZ	https://www.encodeproject.org/files/ENCFF597SAZ/@@download/ENCFF597SAZ.bam
head of caudate nucleus	ENCFF479UTY	https://www.encodeproject.org/files/ENCFF479UTY/@@download/ENCFF479UTY.bam
MG63	ENCFF453MOW,ENCFF636GUW	https://www.encodeproject.org/files/ENCFF453MOW/@@download/ENCFF453MOW.bam
MG63	ENCFF453MOW,ENCFF636GUW	https://www.encodeproject.org/files/ENCFF636GUW/@@download/ENCFF636GUW.bam
pancreas	ENCFF254VRC	https://www.encodeproject.org/files/ENCFF254VRC/@@download/ENCFF254VRC.bam
SK-N-DZ	ENCFF859JWM	https://www.encodeproject.org/files/ENCFF859JWM/@@download/ENCFF859JWM.bam
LNCaP clone FGC	ENCFF792XFJ	https://www.encodeproject.org/files/ENCFF792XFJ/@@download/ENCFF792XFJ.bam
right cardiac atrium	ENCFF629PRO	https://www.encodeproject.org/files/ENCFF629PRO/@@download/ENCFF629PRO.bam
ovary	ENCFF212QJB	https://www.encodeproject.org/files/ENCFF212QJB/@@download/ENCFF212QJB.bam
T47D	ENCFF384HOF	https://www.encodeproject.org/files/ENCFF384HOF/@@download/ENCFF384HOF.bam
GM03348	ENCFF366OHL	https://www.encodeproject.org/files/ENCFF366OHL/@@download/ENCFF366OHL.bam
SK-N-SH	ENCFF264HFT	https://www.encodeproject.org/files/ENCFF264HFT/@@download/ENCFF264HFT.bam
stromal cell of bone marrow	ENCFF753KFY	https://www.encodeproject.org/files/ENCFF753KFY/@@download/ENCFF753KFY.bam
lung microvascular endothelial cell	ENCFF806HBI,ENCFF390RYI	https://www.encodeproject.org/files/ENCFF806HBI/@@download/ENCFF806HBI.bam
lung microvascular endothelial cell	ENCFF806HBI,ENCFF390RYI	https://www.encodeproject.org/files/ENCFF390RYI/@@download/ENCFF390RYI.bam
chorion	ENCFF535TTP	https://www.encodeproject.org/files/ENCFF535TTP/@@download/ENCFF535TTP.bam
head of caudate nucleus	ENCFF609KIK	https://www.encodeproject.org/files/ENCFF609KIK/@@download/ENCFF609KIK.bam
head of caudate nucleus	ENCFF921DRM	https://www.encodeproject.org/files/ENCFF921DRM/@@download/ENCFF921DRM.bam
A549	ENCFF995HBI	https://www.encodeproject.org/files/ENCFF995HBI/@@download/ENCFF995HBI.bam
MCF-7	ENCFF453JXK	https://www.encodeproject.org/files/ENCFF453JXK/@@download/ENCFF453JXK.bam
endothelial cell of umbilical vein	ENCFF016SEB	https://www.encodeproject.org/files/ENCFF016SEB/@@download/ENCFF016SEB.bam
MCF-7	ENCFF925RMV	https://www.encodeproject.org/files/ENCFF925RMV/@@download/ENCFF925RMV.bam
naive thymus-derived CD4-positive, alpha-beta T cell	ENCFF554YMY	https://www.encodeproject.org/files/ENCFF554YMY/@@download/ENCFF554YMY.bam
K562	ENCFF896UXC	https://www.encodeproject.org/files/ENCFF896UXC/@@download/ENCFF896UXC.bam
eye	ENCFF318EGI,ENCFF045BTQ	https://www.encodeproject.org/files/ENCFF318EGI/@@download/ENCFF318EGI.bam
eye	ENCFF318EGI,ENCFF045BTQ	https://www.encodeproject.org/files/ENCFF045BTQ/@@download/ENCFF045BTQ.bam
AG08396	ENCFF506CPQ	https://www.encodeproject.org/files/ENCFF506CPQ/@@download/ENCFF506CPQ.bam
C803	ENCFF442TUD	https://www.encodeproject.org/files/ENCFF442TUD/@@download/ENCFF442TUD.bam
Caki2	ENCFF463OFJ,ENCFF286HCJ	https://www.encodeproject.org/files/ENCFF463OFJ/@@download/ENCFF463OFJ.bam
Caki2	ENCFF463OFJ,ENCFF286HCJ	https://www.encodeproject.org/files/ENCFF286HCJ/@@download/ENCFF286HCJ.bam
T-helper 2 cell	ENCFF997MEU	https://www.encodeproject.org/files/ENCFF997MEU/@@download/ENCFF997MEU.bam
cardiac muscle cell	ENCFF976WRC	https://www.encodeproject.org/files/ENCFF976WRC/@@download/ENCFF976WRC.bam
endothelial cell of umbilical vein	ENCFF309JXB	https://www.encodeproject.org/files/ENCFF309JXB/@@download/ENCFF309JXB.bam
epidermal melanocyte	ENCFF786HBB	https://www.encodeproject.org/files/ENCFF786HBB/@@download/ENCFF786HBB.bam
MCF 10A	ENCFF416UGH	https://www.encodeproject.org/files/ENCFF416UGH/@@download/ENCFF416UGH.bam
MCF 10A	ENCFF101JIC	https://www.encodeproject.org/files/ENCFF101JIC/@@download/ENCFF101JIC.bam
effector memory CD4-positive, alpha-beta T cell	ENCFF864BTN	https://www.encodeproject.org/files/ENCFF864BTN/@@download/ENCFF864BTN.bam
MCF-7	ENCFF383DSC	https://www.encodeproject.org/files/ENCFF383DSC/@@download/ENCFF383DSC.bam
T47D	ENCFF661WZF	https://www.encodeproject.org/files/ENCFF661WZF/@@download/ENCFF661WZF.bam
K562	ENCFF050ZRL	https://www.encodeproject.org/files/ENCFF050ZRL/@@download/ENCFF050ZRL.bam
SJSA1	ENCFF643BIP,ENCFF763VYM	https://www.encodeproject.org/files/ENCFF643BIP/@@download/ENCFF643BIP.bam
SJSA1	ENCFF643BIP,ENCFF763VYM	https://www.encodeproject.org/files/ENCFF763VYM/@@download/ENCFF763VYM.bam
